FID,VolcanoNumber,VolcanoName,SO2_Kilotons,StartDate,EndDate,Emission_ID
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a1f,233020,"Fournaise, Piton de la",4,20021117,20021117,61
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a1e,233020,"Fournaise, Piton de la",0.5,20041002,20041002,62
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a1d,233020,"Fournaise, Piton de la",10,20050226,20050226,63
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a1c,233020,"Fournaise, Piton de la",15,20051227,20051227,64
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a1b,233020,"Fournaise, Piton de la",1,20060831,20060831,65
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a1a,233020,"Fournaise, Piton de la",300,20070403,20070403,66
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a19,233020,"Fournaise, Piton de la",1,20100111,20100111,67
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a18,233020,"Fournaise, Piton de la",1,20101015,20101015,68
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a17,233020,"Fournaise, Piton de la",1,20140621,20140621,69
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a16,233020,"Fournaise, Piton de la",3,20150204,20150204,70
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a15,233020,"Fournaise, Piton de la",2,20150518,20150518,71
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a14,233020,"Fournaise, Piton de la",2,20150731,20150731,72
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a13,233020,"Fournaise, Piton de la",2,20150825,20150825,73
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a12,234010,Heard,10,19850114,19850114,74
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a11,241080,Tongariro,1,20120806,20120806,75
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a10,241100,Ruapehu,80,19960617,19960617,76
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a0f,241100,Ruapehu,10,19960720,19960720,77
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a0e,243040,Hunga Tonga-Hunga Ha'apai,14,20141224,20141224,78
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a0d,243080,Home Reef,25,20060808,20060808,79
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a0c,251020,Manam,3,19970208,19970208,80
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a0b,251020,Manam,17,19981005,19981005,81
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a0a,251020,Manam,10,20020519,20020519,82
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a09,251020,Manam,152,20041024,20041127,83
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a08,251020,Manam,38,20041220,20041220,84
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a07,251020,Manam,140,20050128,20050128,85
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a06,251020,Manam,50,20060227,20060227,86
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a05,251020,Manam,10,20130413,20130413,87
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a04,251020,Manam,50,20150731,20150731,88
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a03,251030,Karkar,50,19790308,19790308,89
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a02,252070,Krummel-Garbuna-Welcker,1,20071111,20071111,90
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a01,252120,Ulawun,200,19801007,19801007,91
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4a00,252120,Ulawun,70,19851120,19851120,92
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ff,252120,Ulawun,37,20000928,20000928,93
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49fe,252120,Ulawun,30,20010430,20010430,94
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49fd,252120,Ulawun,10,20020827,20020827,95
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49fc,252140,Rabaul,200,19940919,19940919,96
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49fb,252140,Rabaul,300,20061007,20061007,97
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49fa,252140,Rabaul,31,20140829,20140829,98
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49f9,256010,Tinakula,2,20060212,20060212,99
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49f8,257040,Ambrym,87,19781205,19781205,100
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49f7,257040,Ambrym,10,19861115,19861115,101
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49f6,257040,Ambrym,25,19890424,19890424,102
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49f5,257040,Ambrym,20,20150221,20150221,103
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49f4,257050,Lopevi,38,19800818,19800818,104
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49f3,257050,Lopevi,27,19821025,19821025,105
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49f2,257050,Lopevi,50,20030609,20030609,106
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49f1,257050,Lopevi,22,20040928,20040928,107
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49f0,257050,Lopevi,12,20070420,20070420,108
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ef,260010,Barren Island,0.2,20060405,20060405,109
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ee,261080,Sinabung,20,20140111,20140111,110
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ed,261160,Talang,1,20050412,20050412,111
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ec,263100,Papandayan,7,20021113,20021113,112
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49eb,263140,Galunggung,730,19820405,19820603,113
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ea,263140,Galunggung,430,19820624,19820624,114
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49e9,263140,Galunggung,440,19820713,19820717,115
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49e8,263140,Galunggung,130,19820815,19820918,116
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49e7,263250,Merapi,10,20060615,20060615,117
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49e6,263250,Merapi,300,20101104,20101104,118
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49e5,263280,Kelut,150,19900211,19900211,119
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49e4,263280,Kelut,200,20140213,20140213,120
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49e3,263310,Tengger Caldera,31,20040609,20040609,121
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49e2,263310,Tengger Caldera,5,20101129,20101129,122
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49e1,263310,Tengger Caldera,12,20101220,20101226,123
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49e0,263310,Tengger Caldera,24,20110128,20110212,124
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49df,264030,Rinjani,10,19940603,19940603,125
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49de,264050,Sangeang Api,100,20140530,20140530,126
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49dd,264150,Paluweh,40,20130202,20130202,127
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49dc,265090,Banda Api,250,19880509,19880509,128
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49db,266010,Colo,200,19830724,19830724,129
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49da,266030,Soputan,90,19820827,19820827,130
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49d9,266030,Soputan,13,19821110,19821110,131
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49d8,266030,Soputan,166,19840524,19840524,132
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49d7,266030,Soputan,26,19840831,19840831,133
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49d6,266030,Soputan,12,19850520,19850520,134
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49d5,266030,Soputan,16,20030901,20030901,135
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49d4,266030,Soputan,10,20041018,20041018,136
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49d3,266030,Soputan,15,20041213,20041213,137
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49d2,266030,Soputan,1.5,20050420,20050420,138
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49d1,266030,Soputan,5,20051227,20051227,139
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49d0,266030,Soputan,10,20061214,20061214,140
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49cf,266030,Soputan,5,20070814,20070814,141
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ce,266030,Soputan,12,20071025,20071025,142
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49cd,266030,Soputan,33,20080606,20080606,143
